lsoa_a,lsoa_b,day,hour,label
883,523,3,19,0
859,156,0,14,1
271,547,3,21,1
363,628,5,4,0
884,99,5,20,1
631,492,3,22,1
142,712,0,7,0
706,743,5,11,0
764,100,0,14,0
497,432,2,22,1
846,507,4,22,1
131,879,2,16,0
933,682,2,16,0
165,575,1,11,1
85,420,0,2,1
63,766,1,6,0
286,319,3,16,0
934,418,2,17,0
802,707,0,21,1
674,897,1,23,1
111,101,5,7,0
275,327,4,22,1
441,906,1,0,1
951,621,6,21,0
782,355,2,20,1
39,463,3,17,0
647,615,0,6,0
586,154,0,21,1
761,856,0,7,0
906,612,1,0,0
469,851,4,20,1
884,955,3,7,0
454,346,2,10,0
443,80,0,0,1
985,867,6,16,0
743,921,4,15,0
371,584,5,6,0
376,780,0,21,0
686,387,3,19,0
522,659,2,19,0
885,850,2,20,0
738,620,2,8,0
375,662,3,2,1
589,540,0,22,1
557,450,3,3,1
246,907,5,3,1
733,935,5,3,1
392,899,6,9,0
759,972,2,13,0
955,278,1,15,0
812,70,4,3,1
49,370,5,10,0
803,908,6,7,0
679,432,0,20,0
661,285,1,15,0
314,679,6,13,0
256,882,4,16,0
75,83,2,4,1
701,521,0,17,0
133,199,2,9,0
751,115,0,14,0
435,945,3,14,0
597,27,0,12,0
687,462,4,10,0
743,57,6,23,1
971,481,4,16,0
436,900,5,13,0
440,564,6,7,0
358,393,4,19,0
179,685,0,2,1
312,373,3,5,0
222,629,3,15,0
44,57,3,18,0
356,489,0,12,0
667,628,1,15,0
372,623,6,14,0
943,773,3,19,1
788,718,1,12,0
610,198,6,19,0
371,373,0,12,0
440,727,1,15,0
745,23,2,9,0
587,912,5,20,0
45,63,3,16,0
292,778,4,23,0
672,926,4,23,1
777,68,2,20,1
667,984,4,1,0
192,493,4,21,0
421,735,3,0,0
374,387,3,7,0
173,266,3,11,0
63,367,0,17,0
255,745,4,8,0
560,50,4,17,0
633,259,6,5,1
553,287,3,20,1
661,439,1,11,0
933,596,6,2,0
355,52,5,7,0
871,551,0,8,0
92,663,5,2,1
682,990,4,16,0
720,783,3,11,0
21,239,4,8,1
912,10,1,4,0
538,250,2,8,0
576,478,3,19,0
412,785,4,22,0
303,560,6,5,0
636,721,0,9,0
888,30,6,3,1
26,182,0,18,0
200,822,4,15,0
496,906,0,4,1
886,411,0,15,0
548,276,3,17,0
229,650,4,14,0
268,659,0,10,0
182,180,3,9,0
962,890,0,17,0
460,962,0,14,0
339,266,6,8,0
487,473,0,20,0
441,981,3,22,1
590,359,6,8,0
596,786,2,3,1
469,296,0,7,0
683,299,0,15,0
786,682,2,10,0
381,439,1,4,0
575,34,0,13,1
30,298,6,10,0
412,454,5,20,1
490,541,4,15,0
3,556,0,14,0
888,659,4,21,0
377,752,5,5,1
938,381,2,4,0
337,967,4,13,0
531,797,5,21,1
397,770,4,7,0
788,544,0,2,1
1,982,5,8,0
424,754,2,21,1
127,563,1,8,0
558,611,4,0,1
190,633,2,15,0
372,557,0,22,1
608,13,6,14,0
244,259,6,9,0
491,43,3,13,0
128,132,6,20,1
654,610,4,9,0
219,249,5,16,0
659,111,1,23,1
419,584,0,9,0
976,739,6,5,1
516,262,1,10,0
18,540,3,21,1
68,611,1,1,1
745,319,1,21,1
415,134,5,15,0
685,611,3,6,1
255,691,3,19,0
568,71,1,8,0
284,853,6,2,0
925,436,6,13,0
757,819,4,16,0
462,847,3,18,1
911,992,3,12,0
216,926,2,14,1
525,736,3,14,0
282,72,5,0,1
386,859,3,13,0
762,12,5,15,0
27,270,0,21,1
495,550,3,5,1
796,172,6,6,1
636,798,6,5,0
409,353,0,18,0
755,982,4,13,0
608,816,4,12,0
438,140,5,14,0
629,148,6,2,1
294,847,6,18,0
163,85,3,18,0
105,259,3,7,0
442,884,4,5,1
261,209,3,10,0
412,859,2,20,0
519,731,6,20,1
339,713,0,4,1
142,755,3,11,0
257,232,2,3,1
603,405,0,0,1
997,596,4,0,1
865,486,2,22,1
952,884,3,11,0
849,881,0,4,1
964,360,6,19,0
11,545,5,12,0
183,851,5,12,0
735,317,3,8,0
284,118,5,8,0
593,877,2,9,0
709,990,1,13,0
60,929,0,4,1
643,929,0,12,1
735,826,0,6,0
402,562,6,6,0
947,961,4,11,0
888,880,3,13,0
83,649,1,3,1
761,853,1,8,1
532,47,4,12,0
805,48,1,10,0
26,367,5,10,0
288,938,2,17,0
425,943,3,1,0
484,832,0,7,0
65,548,6,5,1
225,852,4,15,0
780,936,4,12,0
318,757,0,11,0
296,99,0,21,1
810,544,4,16,1
595,788,4,1,1
648,24,5,7,0
703,365,1,0,1
325,500,5,3,1
556,469,4,23,1
359,83,6,20,1
857,541,6,11,0
800,814,5,19,0
80,501,4,10,0
819,77,1,10,0
598,444,0,11,0
275,838,2,11,0
607,389,0,12,0
370,494,5,18,0
448,93,1,11,0
920,631,6,0,1
830,540,4,10,0
334,279,4,1,0
245,597,0,19,0
166,759,5,8,0
384,1,6,19,0
376,460,1,12,0
325,390,1,0,1
404,328,4,15,0
5,636,5,7,0
202,690,4,2,1
538,586,3,8,0
34,718,5,18,0
322,690,1,22,1
631,813,4,19,0
620,118,1,8,1
328,179,1,0,0
274,167,4,5,1
282,18,5,0,0
157,278,0,18,0
468,467,4,12,0
741,318,5,19,0
830,888,5,2,1
528,952,0,18,0
481,806,4,8,0
110,852,1,1,1
748,455,5,22,1
330,237,3,18,0
357,954,4,1,0
313,483,2,5,0
539,827,6,6,0
142,620,0,8,0
435,737,4,2,1
825,676,5,8,0
297,370,2,4,1
890,361,4,7,0
631,243,5,5,1
546,286,3,16,0
975,562,1,7,0
545,803,4,7,0
665,663,4,19,0
930,286,2,15,0
636,563,1,6,1
873,996,1,5,1
387,378,2,2,1
304,29,2,7,0
496,430,5,9,0
668,294,4,3,0
393,428,2,11,0
173,128,4,21,0
483,48,0,9,0
524,804,4,5,1
600,635,0,18,0
833,577,1,18,0
620,82,2,16,0
22,155,1,20,1
31,958,4,8,0
30,342,3,12,0
360,687,5,17,0
90,249,2,3,1
959,576,3,14,0
850,86,2,19,0
443,106,2,9,0
533,398,0,10,0
354,568,4,1,0
965,576,4,10,0
914,67,2,3,1
850,379,2,3,1
150,215,3,23,1
206,97,0,14,0
152,532,5,7,0
808,274,5,17,0
921,31,5,15,0
990,861,4,11,0
338,76,0,14,0
351,629,3,23,1
990,876,6,2,1
588,678,6,1,1
552,168,6,10,1
947,180,0,9,0
708,314,4,17,1
200,7,0,6,0
199,749,5,16,0
788,138,6,11,0
181,56,5,2,1
610,576,5,2,0
695,184,6,15,0
488,733,4,22,0
251,886,1,16,0
331,943,3,10,1
554,471,2,7,0
886,811,3,16,0
178,178,5,12,0
337,926,6,11,1
778,210,4,3,1
941,523,4,4,1
124,23,3,5,0
709,228,2,20,1
228,892,4,2,0
984,915,6,10,0
335,100,6,14,0
579,83,3,6,0
483,744,4,0,1
501,77,6,0,1
884,822,4,2,0
477,384,3,17,0
212,626,6,22,0
234,612,3,13,0
922,789,0,14,0
849,157,2,20,1
949,753,3,23,0
225,575,4,23,0
243,223,2,20,1
802,482,5,8,0
211,903,6,6,0
623,392,5,18,0
593,417,0,23,1
134,595,5,18,0
969,474,1,20,0
910,954,6,3,1
577,765,0,1,1
76,869,3,20,1
141,763,6,11,0
164,705,0,7,0
628,583,2,11,0
927,776,2,22,1
318,626,0,17,0
676,230,1,5,1
813,710,4,10,0
150,294,3,13,0
846,208,6,8,0
160,152,2,0,1
882,427,0,0,1
241,74,1,19,0
329,49,2,11,0
509,661,2,3,1
167,50,3,16,0
83,618,5,10,0
577,291,4,12,0
544,851,1,15,0
440,113,6,13,0
117,206,3,10,0
291,478,3,2,1
617,979,6,14,0
425,479,3,10,0
619,125,6,9,0
541,74,4,21,1
262,52,5,1,0
440,445,5,7,0
115,523,5,21,1
741,606,4,17,1
956,200,2,0,1
696,333,5,1,0
872,289,4,22,0
93,449,3,17,1
961,730,0,2,1
291,427,0,4,1
304,177,4,0,1
717,980,2,15,0
381,150,5,19,0
104,279,3,9,0
507,682,6,17,1
884,418,6,4,1
649,83,3,14,0
981,479,2,16,0
699,983,2,6,0
429,33,6,14,0
605,671,4,19,0
87,898,0,5,1
636,309,1,14,0
708,897,3,22,0
199,341,5,4,1
625,445,3,7,0
298,513,5,0,1
541,405,2,13,0
78,964,3,3,1
367,377,6,8,1
51,324,5,17,0
568,573,5,0,1
466,902,5,11,0
22,599,0,12,0
155,868,4,9,0
870,54,6,15,0
998,482,3,14,0
298,230,4,19,0
186,984,4,21,1
343,703,3,1,0
452,276,4,6,1
37,796,0,14,0
645,290,1,5,1
899,287,0,22,1
738,124,4,8,0
168,712,5,8,0
978,763,6,7,0
320,880,0,5,1
883,509,0,18,0
34,593,4,21,1
90,610,1,19,1
