lsoa_a,lsoa_b,day,hour,label
E01000802,E01000423,Sunday,19:01,0
E01000715,E01000501,Friday,14:55,1
E01000400,E01000866,Sunday,21:52,1
E01000529,E01000900,Tuesday,04:24,0
E01000183,E01000918,Tuesday,20:16,1
E01000461,E01000373,Sunday,22:37,1
E01000577,E01000109,Friday,07:10,0
E01000084,E01000107,Tuesday,11:42,0
E01000122,E01000679,Friday,14:35,0
E01000668,E01000166,Saturday,22:53,1
E01000012,E01000642,Thursday,22:09,1
E01000465,E01000839,Saturday,16:11,0
E01000353,E01000850,Saturday,16:29,0
E01000338,E01000484,Monday,11:34,1
E01000450,E01000238,Friday,02:20,1
E01000886,E01000847,Monday,06:14,0
E01000948,E01000580,Sunday,16:33,0
E01000717,E01000155,Saturday,17:51,0
E01000520,E01000660,Friday,21:44,1
E01000478,E01000815,Monday,23:37,1
E01000150,E01000422,Tuesday,07:32,0
E01000641,E01000853,Thursday,22:32,1
E01000931,E01000269,Monday,00:45,1
E01000096,E01000242,Wednesday,21:02,0
E01000230,E01000283,Saturday,20:54,1
E01000759,E01000966,Sunday,17:38,0
E01000786,E01000632,Friday,06:46,0
E01000612,E01000564,Friday,21:38,1
E01000994,E01000640,Friday,07:09,0
E01000269,E01000880,Monday,00:27,0
E01000371,E01000490,Thursday,20:50,1
E01000183,E01000266,Sunday,07:41,0
E01000362,E01000821,Saturday,10:01,0
E01000616,E01000875,Friday,00:03,1
E01000780,E01000151,Wednesday,16:55,0
E01000107,E01000129,Thursday,15:42,0
E01000671,E01000115,Tuesday,06:46,0
E01000621,E01000991,Friday,21:37,0
E01000042,E01000292,Sunday,19:03,0
E01000479,E01000606,Saturday,19:40,0
E01000789,E01000605,Saturday,20:21,0
E01000823,E01000647,Saturday,08:52,0
E01000356,E01000652,Sunday,02:55,1
E01000140,E01000304,Friday,22:41,1
E01000163,E01000531,Sunday,03:04,1
E01000381,E01000669,Tuesday,03:05,1
E01000908,E01000237,Tuesday,03:32,1
E01000784,E01000495,Wednesday,09:57,0
E01000781,E01000101,Saturday,13:44,0
E01000266,E01000385,Monday,15:38,0
E01000625,E01000865,Thursday,03:04,1
E01000824,E01000811,Tuesday,10:18,0
E01000708,E01000455,Wednesday,07:06,0
E01000936,E01000166,Friday,20:21,0
E01000516,E01000989,Monday,15:09,0
E01000932,E01000936,Wednesday,13:02,0
E01000076,E01000419,Thursday,16:31,0
E01000135,E01000397,Saturday,04:40,1
E01000961,E01000766,Friday,17:17,0
E01000788,E01000472,Saturday,09:10,0
E01000466,E01000287,Friday,14:04,0
E01000429,E01000869,Sunday,14:12,0
E01000473,E01000820,Friday,12:53,0
E01000812,E01000982,Thursday,10:57,0
E01000107,E01000270,Wednesday,23:38,1
E01000998,E01000537,Thursday,16:02,0
E01000656,E01000607,Tuesday,13:51,0
E01000592,E01000480,Wednesday,07:03,0
E01000681,E01000255,Thursday,19:18,0
E01000152,E01000227,Friday,02:27,1
E01000950,E01000634,Sunday,05:57,0
E01000626,E01000975,Sunday,15:29,0
E01000753,E01000270,Sunday,18:09,0
E01000244,E01000758,Friday,12:31,0
E01000436,E01000900,Monday,15:35,0
E01000014,E01000442,Wednesday,14:22,0
E01000750,E01000957,Sunday,19:37,1
E01000369,E01000837,Monday,12:05,0
E01000644,E01000259,Wednesday,19:05,0
E01000671,E01000634,Friday,12:34,0
E01000592,E01000447,Monday,15:12,0
E01000909,E01000082,Saturday,09:45,0
E01000705,E01000394,Tuesday,20:55,0
E01000167,E01000886,Sunday,16:28,0
E01000514,E01000686,Thursday,23:28,0
E01000974,E01000262,Thursday,23:13,1
E01000315,E01000595,Saturday,20:08,1
E01000436,E01000066,Thursday,01:49,0
E01000339,E01000601,Thursday,21:05,0
E01000712,E01000571,Sunday,00:23,0
E01000316,E01000292,Sunday,07:41,0
E01000058,E01000650,Sunday,11:09,0
E01000886,E01000302,Friday,17:56,0
E01000523,E01000909,Thursday,08:18,0
E01000724,E01000829,Thursday,17:59,0
E01000630,E01000691,Wednesday,05:15,1
E01000913,E01000575,Sunday,20:00,1
E01000516,E01000794,Monday,11:12,0
E01000353,E01000704,Wednesday,02:36,0
E01000283,E01000416,Tuesday,07:49,0
E01000810,E01000377,Friday,08:32,0
E01000548,E01000099,Tuesday,02:19,1
E01000850,E01000636,Thursday,16:52,0
E01000848,E01000367,Sunday,11:47,0
E01000308,E01000776,Thursday,08:08,1
E01000394,E01000578,Monday,04:57,0
E01000747,E01000845,Saturday,08:42,0
E01000901,E01000273,Sunday,19:53,0
E01000935,E01000971,Thursday,22:16,0
E01000603,E01000724,Wednesday,05:22,0
E01000276,E01000045,Friday,09:07,0
E01000083,E01000274,Wednesday,03:01,1
E01000378,E01000092,Friday,18:31,0
E01000568,E01000190,Thursday,15:32,0
E01000359,E01000269,Friday,04:14,1
E01000521,E01000417,Friday,15:36,0
E01000987,E01000233,Sunday,17:10,0
E01000169,E01000347,Thursday,14:50,0
E01000307,E01000606,Friday,10:57,0
E01000092,E01000522,Sunday,09:38,0
E01000988,E01000123,Friday,17:50,0
E01000009,E01000988,Friday,14:27,0
E01000087,E01000650,Wednesday,08:20,0
E01000492,E01000958,Friday,20:41,0
E01000931,E01000981,Sunday,22:18,1
E01000382,E01000120,Wednesday,08:02,0
E01000704,E01000165,Saturday,03:11,1
E01000371,E01000263,Friday,07:07,0
E01000960,E01000859,Friday,15:35,0
E01000165,E01000850,Saturday,10:11,0
E01000878,E01000794,Monday,04:14,0
E01000484,E01000713,Friday,13:50,1
E01000274,E01000719,Wednesday,10:29,0
E01000935,E01000362,Tuesday,20:08,1
E01000664,E01000879,Thursday,15:15,0
E01000396,E01000695,Friday,14:22,0
E01000083,E01000606,Thursday,21:08,0
E01000970,E01000734,Tuesday,05:57,1
E01000215,E01000878,Saturday,04:13,0
E01000027,E01000225,Thursday,13:08,0
E01000280,E01000502,Tuesday,21:30,1
E01000739,E01000336,Thursday,07:24,0
E01000369,E01000830,Friday,02:22,1
E01000438,E01000415,Tuesday,08:02,0
E01000512,E01000104,Saturday,21:29,1
E01000597,E01000561,Monday,08:05,0
E01000372,E01000311,Thursday,00:58,1
E01000622,E01000630,Saturday,15:56,0
E01000014,E01000163,Friday,22:26,1
E01000945,E01000773,Wednesday,14:36,0
E01000942,E01000691,Wednesday,09:06,0
E01000860,E01000498,Sunday,13:35,0
E01000459,E01000591,Wednesday,20:01,1
E01000507,E01000644,Thursday,09:04,0
E01000855,E01000130,Tuesday,16:46,0
E01000606,E01000150,Monday,23:24,1
E01000927,E01000115,Friday,09:24,0
E01000727,E01000321,Wednesday,05:04,1
E01000923,E01000787,Monday,10:07,0
E01000317,E01000304,Sunday,21:46,1
E01000595,E01000311,Monday,01:56,1
E01000909,E01000580,Monday,21:00,1
E01000296,E01000299,Tuesday,15:47,0
E01000227,E01000311,Sunday,06:18,1
E01000523,E01000714,Sunday,19:52,0
E01000499,E01000587,Monday,08:34,0
E01000322,E01000448,Wednesday,02:56,0
E01000725,E01000656,Wednesday,13:03,0
E01000639,E01000282,Thursday,16:08,0
E01000982,E01000043,Sunday,18:39,1
E01000243,E01000986,Sunday,12:09,0
E01000964,E01000262,Saturday,14:02,1
E01000271,E01000078,Sunday,14:00,0
E01000439,E01000832,Tuesday,00:37,1
E01000126,E01000715,Sunday,13:13,0
E01000420,E01000658,Tuesday,15:22,0
E01000820,E01000232,Friday,21:07,1
E01000661,E01000090,Sunday,05:05,1
E01000897,E01000048,Wednesday,06:40,1
E01000276,E01000910,Wednesday,05:36,0
E01000015,E01000132,Friday,18:58,0
E01000217,E01000415,Thursday,13:12,0
E01000945,E01000157,Thursday,12:22,0
E01000094,E01000344,Tuesday,14:12,0
E01000975,E01000792,Wednesday,02:37,1
E01000024,E01000043,Wednesday,18:44,0
E01000097,E01000450,Sunday,18:22,0
E01000160,E01000691,Sunday,07:45,0
E01000920,E01000183,Thursday,05:57,1
E01000410,E01000348,Sunday,10:21,0
E01000935,E01000715,Saturday,20:41,0
E01000325,E01000934,Wednesday,20:55,1
E01000087,E01000838,Friday,04:27,1
E01000577,E01000217,Sunday,11:55,0
E01000212,E01000054,Saturday,03:53,1
E01000912,E01000143,Friday,00:14,1
E01000171,E01000704,Thursday,00:03,1
E01000894,E01000334,Saturday,22:58,1
E01000005,E01000183,Sunday,11:52,0
E01000834,E01000844,Friday,04:17,1
E01000491,E01000618,Wednesday,19:42,0
E01000196,E01000767,Tuesday,12:34,0
E01000248,E01000490,Tuesday,12:11,0
E01000571,E01000351,Sunday,08:30,0
E01000322,E01000072,Tuesday,08:21,0
E01000619,E01000294,Saturday,09:48,0
E01000744,E01000636,Monday,13:07,0
